,Descriptor,Location Type,Cluster Labels,Segment
178,Personal Issue,Street/Sidewalk,1,2
179,Noise,Residential Building/House,5,6
181,Trash/Pollution,Street/Sidewalk,2,3
182,Other,Street/Sidewalk,1,2
183,Noise,Store/Commercial,3,4
184,Traffic,Residential Building/House,0,1
185,Traffic,Street/Sidewalk,1,2
186,Traffic,Street/Sidewalk,1,2
188,Traffic,Street/Sidewalk,1,2
189,Traffic,Street/Sidewalk,1,2
191,Traffic,Residential Building/House,0,1
192,Traffic,Street/Sidewalk,1,2
193,Traffic,Street/Sidewalk,1,2
194,Noise,Residential Building/House,5,6
195,Personal Issue,Taxi,0,1
197,Traffic,Street/Sidewalk,1,2
198,Noise,Street/Sidewalk,6,7
199,Traffic,Street/Sidewalk,1,2
200,Traffic,Street/Sidewalk,1,2
201,Noise,Street/Sidewalk,6,7
202,Safety,Park,7,8
203,Safety,Park,7,8
204,Safety,Park,7,8
205,Commercial,Taxi,0,1
206,Noise,Street/Sidewalk,6,7
207,Other,Street/Sidewalk,1,2
208,Traffic,Street/Sidewalk,1,2
211,Noise,Street/Sidewalk,6,7
212,Traffic,Street/Sidewalk,1,2
213,Traffic,Street/Sidewalk,1,2
214,Personal Issue,Taxi,0,1
215,Trash/Pollution,Street/Sidewalk,2,3
216,Traffic,Street/Sidewalk,1,2
217,Traffic,Residential Building/House,0,1
218,Energy,Street/Sidewalk,1,2
219,Other,Residential Building/House,0,1
220,Animals,Street/Sidewalk,1,2
222,Traffic,Street/Sidewalk,1,2
223,Energy,Street/Sidewalk,1,2
224,Traffic,Street/Sidewalk,1,2
226,Safety,Park,7,8
227,Safety,Street/Sidewalk,7,8
228,Trash/Pollution,Street/Sidewalk,2,3
229,Safety,Street/Sidewalk,7,8
230,Noise,Street/Sidewalk,6,7
231,Noise,Residential Building/House,5,6
232,Noise,Street/Sidewalk,6,7
233,Traffic,Street/Sidewalk,1,2
235,Noise,Park,3,4
237,Traffic,Residential Building/House,0,1
238,Noise,Street/Sidewalk,6,7
239,Noise,Street/Sidewalk,6,7
241,Noise,Street/Sidewalk,6,7
242,Noise,Street/Sidewalk,6,7
243,Noise,Residential Building/House,5,6
244,Traffic,Street/Sidewalk,1,2
245,Traffic,Street/Sidewalk,1,2
246,Other,Street/Sidewalk,1,2
247,Traffic,Street/Sidewalk,1,2
248,Traffic,Street/Sidewalk,1,2
249,Traffic,Residential Building/House,0,1
250,Noise,Street/Sidewalk,6,7
251,Personal Issue,Taxi,0,1
252,Noise,Store/Commercial,3,4
253,Noise,Store/Commercial,3,4
254,Traffic,Street/Sidewalk,1,2
255,Noise,Street/Sidewalk,6,7
256,Traffic,Residential Building/House,0,1
257,Safety,Street/Sidewalk,7,8
258,Personal Issue,Street/Sidewalk,1,2
259,Traffic,Street/Sidewalk,1,2
260,Safety,Park,7,8
261,Personal Issue,Taxi,0,1
262,Traffic,Street/Sidewalk,1,2
263,Traffic,Street/Sidewalk,1,2
264,Personal Issue,Taxi,0,1
267,Safety,Street/Sidewalk,7,8
268,Noise,Residential Building/House,5,6
269,Commercial,Park,0,1
270,Noise,Street/Sidewalk,6,7
271,Trash/Pollution,Street/Sidewalk,2,3
272,Safety,Street/Sidewalk,7,8
273,Safety,Street/Sidewalk,7,8
275,Commercial,Store/Commercial,3,4
276,Traffic,Residential Building/House,0,1
277,Noise,Residential Building/House,5,6
