,Descriptor,Location Type,Cluster Labels,Segment
9382,Noise,Street/Sidewalk,6,7
9383,Noise,Residential Building/House,5,6
9384,Noise,Residential Building/House,5,6
9385,Noise,Store/Commercial,3,4
9386,Noise,Store/Commercial,3,4
9387,Noise,Residential Building/House,5,6
9388,Noise,Street/Sidewalk,6,7
9389,Noise,Residential Building/House,5,6
9390,Noise,Park,3,4
9391,Noise,Residential Building/House,5,6
9392,Noise,Street/Sidewalk,6,7
9393,Noise,Street/Sidewalk,6,7
9394,Safety,Residential Building/House,0,1
9395,Noise,Street/Sidewalk,6,7
9396,Noise,Store/Commercial,3,4
9397,Noise,Street/Sidewalk,6,7
9398,Traffic,Street/Sidewalk,1,2
9399,Noise,Street/Sidewalk,6,7
9400,Noise,Street/Sidewalk,6,7
9401,Noise,Residential Building/House,5,6
9402,Noise,Street/Sidewalk,6,7
9403,Noise,Store/Commercial,3,4
9404,Noise,Residential Building/House,5,6
9405,Noise,Store/Commercial,3,4
9406,Noise,Store/Commercial,3,4
9407,Traffic,Street/Sidewalk,1,2
9408,Noise,Street/Sidewalk,6,7
9409,Noise,Street/Sidewalk,6,7
9410,Noise,Park,3,4
9411,Noise,Store/Commercial,3,4
9412,Noise,Store/Commercial,3,4
9413,Noise,Street/Sidewalk,6,7
9414,Noise,Store/Commercial,3,4
9415,Other,Park,0,1
9416,Noise,Residential Building/House,5,6
9417,Noise,Street/Sidewalk,6,7
9418,Noise,Residential Building/House,5,6
9419,Noise,Store/Commercial,3,4
9420,Noise,Street/Sidewalk,6,7
9421,Safety,Street/Sidewalk,7,8
9422,Personal Issue,Street/Sidewalk,1,2
9423,Noise,Residential Building/House,5,6
9424,Noise,Street/Sidewalk,6,7
9425,Noise,Residential Building/House,5,6
9426,Noise,Street/Sidewalk,6,7
9427,Noise,Residential Building/House,5,6
9428,Noise,Residential Building/House,5,6
9429,Noise,Park,3,4
9430,Noise,Store/Commercial,3,4
9431,Noise,Street/Sidewalk,6,7
9432,Noise,Park,3,4
9433,Noise,Street/Sidewalk,6,7
9434,Noise,Street/Sidewalk,6,7
9435,Noise,Street/Sidewalk,6,7
9436,Noise,Street/Sidewalk,6,7
9437,Noise,Street/Sidewalk,6,7
9438,Noise,Residential Building/House,5,6
9439,Noise,Street/Sidewalk,6,7
9440,Noise,Residential Building/House,5,6
9441,Noise,Street/Sidewalk,6,7
9442,Noise,Street/Sidewalk,6,7
9443,Noise,Store/Commercial,3,4
9444,Noise,Street/Sidewalk,6,7
9445,Safety,Street/Sidewalk,7,8
9446,Noise,Residential Building/House,5,6
9447,Noise,Street/Sidewalk,6,7
9448,Noise,Store/Commercial,3,4
9449,Noise,Street/Sidewalk,6,7
9450,Noise,Street/Sidewalk,6,7
9451,Noise,Street/Sidewalk,6,7
9452,Noise,Street/Sidewalk,6,7
9453,Noise,Residential Building/House,5,6
9454,Noise,Residential Building/House,5,6
9455,Noise,Street/Sidewalk,6,7
9456,Noise,Store/Commercial,3,4
9457,Energy,Street/Sidewalk,1,2
9458,Noise,Street/Sidewalk,6,7
9459,Noise,Street/Sidewalk,6,7
9460,Traffic,Street/Sidewalk,1,2
9461,Noise,Residential Building/House,5,6
9462,Noise,Street/Sidewalk,6,7
9463,Noise,Street/Sidewalk,6,7
9464,Noise,Residential Building/House,5,6
9465,Noise,Street/Sidewalk,6,7
9466,Noise,Street/Sidewalk,6,7
9467,Noise,Street/Sidewalk,6,7
9468,Noise,Street/Sidewalk,6,7
9469,Noise,Street/Sidewalk,6,7
9470,Noise,Street/Sidewalk,6,7
9471,Traffic,Store/Commercial,1,2
9472,Traffic,Store/Commercial,1,2
9473,Noise,Street/Sidewalk,6,7
9474,Noise,Residential Building/House,5,6
9475,Noise,Store/Commercial,3,4
9476,Noise,Street/Sidewalk,6,7
9477,Noise,Residential Building/House,5,6
9478,Noise,Street/Sidewalk,6,7
9479,Noise,Residential Building/House,5,6
9480,Noise,Residential Building/House,5,6
9481,Noise,Residential Building/House,5,6
9482,Traffic,Street/Sidewalk,1,2
9483,Noise,Residential Building/House,5,6
9484,Noise,Residential Building/House,5,6
9485,Noise,Street/Sidewalk,6,7
9486,Noise,Store/Commercial,3,4
9487,Noise,Street/Sidewalk,6,7
9488,Noise,Street/Sidewalk,6,7
9489,Noise,Street/Sidewalk,6,7
9490,Noise,Street/Sidewalk,6,7
9491,Noise,Residential Building/House,5,6
9492,Noise,Residential Building/House,5,6
9493,Noise,Store/Commercial,3,4
9494,Noise,Residential Building/House,5,6
9495,Noise,Residential Building/House,5,6
9496,Noise,Street/Sidewalk,6,7
9497,Noise,Street/Sidewalk,6,7
9498,Noise,Residential Building/House,5,6
9499,Noise,Store/Commercial,3,4
9500,Noise,Residential Building/House,5,6
9501,Noise,Street/Sidewalk,6,7
9502,Noise,Street/Sidewalk,6,7
9503,Noise,Residential Building/House,5,6
9504,Noise,Street/Sidewalk,6,7
9505,Noise,Store/Commercial,3,4
9506,Noise,Store/Commercial,3,4
9507,Noise,Street/Sidewalk,6,7
9508,Noise,Store/Commercial,3,4
9509,Noise,Store/Commercial,3,4
9510,Noise,Street/Sidewalk,6,7
9511,Noise,Street/Sidewalk,6,7
9512,Noise,Street/Sidewalk,6,7
9513,Noise,Street/Sidewalk,6,7
9514,Noise,Street/Sidewalk,6,7
9515,Noise,Street/Sidewalk,6,7
9516,Noise,Street/Sidewalk,6,7
9517,Noise,Street/Sidewalk,6,7
9518,Noise,Street/Sidewalk,6,7
9519,Noise,Street/Sidewalk,6,7
9520,Traffic,Residential Building/House,0,1
9521,Noise,Residential Building/House,5,6
9522,Noise,Park,3,4
9523,Noise,Street/Sidewalk,6,7
9524,Noise,Park,3,4
9525,Noise,Residential Building/House,5,6
9526,Noise,Store/Commercial,3,4
9527,Noise,Residential Building/House,5,6
9528,Noise,Store/Commercial,3,4
9529,Noise,Residential Building/House,5,6
9530,Noise,Street/Sidewalk,6,7
9531,Traffic,Street/Sidewalk,1,2
9532,Noise,Street/Sidewalk,6,7
9533,Traffic,Street/Sidewalk,1,2
9534,Traffic,Street/Sidewalk,1,2
9535,Noise,Street/Sidewalk,6,7
9536,Noise,Street/Sidewalk,6,7
9537,Noise,Residential Building/House,5,6
9538,Noise,Street/Sidewalk,6,7
9539,Noise,Street/Sidewalk,6,7
9540,Noise,Street/Sidewalk,6,7
9541,Traffic,Street/Sidewalk,1,2
9543,Traffic,Residential Building/House,0,1
9544,Noise,Store/Commercial,3,4
9545,Noise,Street/Sidewalk,6,7
9546,Noise,Residential Building/House,5,6
9547,Noise,Street/Sidewalk,6,7
9548,Noise,Street/Sidewalk,6,7
9549,Noise,Street/Sidewalk,6,7
9550,Traffic,Residential Building/House,0,1
9551,Energy,Street/Sidewalk,1,2
9552,Noise,Store/Commercial,3,4
9553,Noise,Street/Sidewalk,6,7
9554,Noise,Street/Sidewalk,6,7
9555,Noise,Street/Sidewalk,6,7
9556,Noise,Residential Building/House,5,6
9557,Noise,Street/Sidewalk,6,7
9558,Noise,Street/Sidewalk,6,7
9559,Noise,Street/Sidewalk,6,7
9560,Noise,Street/Sidewalk,6,7
9561,Noise,Residential Building/House,5,6
9562,Noise,Street/Sidewalk,6,7
9563,Noise,Residential Building/House,5,6
9564,Noise,Residential Building/House,5,6
9565,Noise,Street/Sidewalk,6,7
9566,Noise,Street/Sidewalk,6,7
9567,Traffic,Street/Sidewalk,1,2
9568,Traffic,Street/Sidewalk,1,2
9569,Noise,Store/Commercial,3,4
9570,Noise,Street/Sidewalk,6,7
9572,Noise,Street/Sidewalk,6,7
9573,Noise,Residential Building/House,5,6
9574,Noise,Residential Building/House,5,6
9575,Noise,Store/Commercial,3,4
9576,Noise,Store/Commercial,3,4
9577,Noise,Store/Commercial,3,4
9578,Noise,Street/Sidewalk,6,7
9579,Noise,Street/Sidewalk,6,7
9580,Noise,Residential Building/House,5,6
9581,Noise,Street/Sidewalk,6,7
9582,Noise,Store/Commercial,3,4
9583,Noise,Residential Building/House,5,6
9584,Noise,Residential Building/House,5,6
9585,Noise,Residential Building/House,5,6
9586,Noise,Store/Commercial,3,4
9587,Noise,Street/Sidewalk,6,7
9588,Noise,Street/Sidewalk,6,7
9589,Noise,Store/Commercial,3,4
9590,Noise,Store/Commercial,3,4
9591,Noise,Street/Sidewalk,6,7
9592,Noise,Park,3,4
9593,Noise,Street/Sidewalk,6,7
9595,Noise,Street/Sidewalk,6,7
9596,Noise,Store/Commercial,3,4
9597,Noise,Street/Sidewalk,6,7
9598,Safety,Street/Sidewalk,7,8
9599,Noise,Street/Sidewalk,6,7
9600,Traffic,Street/Sidewalk,1,2
9601,Noise,Street/Sidewalk,6,7
9602,Noise,Park,3,4
9603,Noise,Street/Sidewalk,6,7
9604,Noise,Street/Sidewalk,6,7
9605,Noise,Street/Sidewalk,6,7
9606,Noise,Park,3,4
9607,Noise,Residential Building/House,5,6
9608,Noise,Street/Sidewalk,6,7
9609,Noise,Street/Sidewalk,6,7
9610,Noise,Residential Building/House,5,6
9611,Noise,Street/Sidewalk,6,7
9612,Noise,Street/Sidewalk,6,7
9613,Noise,Street/Sidewalk,6,7
9614,Noise,Street/Sidewalk,6,7
9615,Traffic,Street/Sidewalk,1,2
9616,Noise,Street/Sidewalk,6,7
9617,Noise,Street/Sidewalk,6,7
9618,Noise,Street/Sidewalk,6,7
9619,Noise,Street/Sidewalk,6,7
9620,Noise,Street/Sidewalk,6,7
9621,Noise,Street/Sidewalk,6,7
9622,Noise,Residential Building/House,5,6
9623,Noise,Street/Sidewalk,6,7
9624,Noise,Park,3,4
9625,Noise,Street/Sidewalk,6,7
9626,Noise,Street/Sidewalk,6,7
9627,Noise,Residential Building/House,5,6
9628,Noise,Residential Building/House,5,6
9629,Noise,Street/Sidewalk,6,7
9630,Noise,Street/Sidewalk,6,7
9631,Noise,Street/Sidewalk,6,7
9632,Noise,Residential Building/House,5,6
9633,Noise,Street/Sidewalk,6,7
9634,Noise,Store/Commercial,3,4
9635,Noise,Street/Sidewalk,6,7
9636,Noise,Street/Sidewalk,6,7
9637,Noise,Store/Commercial,3,4
9638,Noise,Residential Building/House,5,6
9639,Noise,Residential Building/House,5,6
9640,Noise,Street/Sidewalk,6,7
9641,Noise,Street/Sidewalk,6,7
9642,Noise,Residential Building/House,5,6
9643,Noise,Residential Building/House,5,6
9644,Noise,Street/Sidewalk,6,7
9645,Noise,Street/Sidewalk,6,7
9646,Traffic,Residential Building/House,0,1
9647,Noise,Residential Building/House,5,6
9648,Traffic,Street/Sidewalk,1,2
9649,Noise,Street/Sidewalk,6,7
9650,Noise,Store/Commercial,3,4
9651,Noise,Street/Sidewalk,6,7
9652,Noise,Street/Sidewalk,6,7
9653,Noise,Residential Building/House,5,6
9654,Noise,Residential Building/House,5,6
9655,Noise,Street/Sidewalk,6,7
9656,Noise,Street/Sidewalk,6,7
9657,Noise,Street/Sidewalk,6,7
9658,Noise,Street/Sidewalk,6,7
9659,Noise,Street/Sidewalk,6,7
9660,Noise,Street/Sidewalk,6,7
9661,Traffic,Residential Building/House,0,1
9662,Noise,Street/Sidewalk,6,7
9663,Noise,Street/Sidewalk,6,7
9664,Noise,Residential Building/House,5,6
9665,Noise,Residential Building/House,5,6
9666,Noise,Street/Sidewalk,6,7
9667,Noise,Street/Sidewalk,6,7
9668,Noise,Street/Sidewalk,6,7
9669,Noise,Residential Building/House,5,6
9670,Noise,Street/Sidewalk,6,7
9671,Noise,Street/Sidewalk,6,7
9672,Noise,Street/Sidewalk,6,7
9673,Noise,Street/Sidewalk,6,7
9674,Noise,Street/Sidewalk,6,7
9675,Noise,Street/Sidewalk,6,7
9676,Noise,Street/Sidewalk,6,7
9677,Traffic,Residential Building/House,0,1
9678,Noise,Street/Sidewalk,6,7
9679,Noise,Street/Sidewalk,6,7
9680,Noise,Street/Sidewalk,6,7
9681,Traffic,Street/Sidewalk,1,2
9682,Traffic,Street/Sidewalk,1,2
9683,Noise,Residential Building/House,5,6
9684,Noise,Street/Sidewalk,6,7
9685,Noise,Store/Commercial,3,4
9686,Safety,Street/Sidewalk,7,8
9687,Noise,Street/Sidewalk,6,7
9688,Noise,Street/Sidewalk,6,7
9689,Safety,Street/Sidewalk,7,8
9690,Other,Residential Building/House,0,1
9691,Noise,Street/Sidewalk,6,7
9692,Noise,Street/Sidewalk,6,7
9693,Noise,Residential Building/House,5,6
9694,Noise,Residential Building/House,5,6
9695,Traffic,Street/Sidewalk,1,2
9696,Noise,Street/Sidewalk,6,7
9697,Noise,Residential Building/House,5,6
9698,Noise,Residential Building/House,5,6
9699,Noise,Street/Sidewalk,6,7
9700,Noise,Street/Sidewalk,6,7
9701,Noise,Street/Sidewalk,6,7
9702,Noise,Street/Sidewalk,6,7
9703,Traffic,Residential Building/House,0,1
9704,Noise,Residential Building/House,5,6
9705,Noise,Street/Sidewalk,6,7
9706,Noise,Street/Sidewalk,6,7
9707,Noise,Street/Sidewalk,6,7
9708,Traffic,Residential Building/House,0,1
9709,Safety,Street/Sidewalk,7,8
9710,Traffic,Street/Sidewalk,1,2
9711,Traffic,Street/Sidewalk,1,2
9712,Traffic,Street/Sidewalk,1,2
9713,Traffic,Street/Sidewalk,1,2
9714,Traffic,Street/Sidewalk,1,2
9715,Noise,Residential Building/House,5,6
9716,Traffic,Street/Sidewalk,1,2
9717,Safety,Street/Sidewalk,7,8
9718,Traffic,Street/Sidewalk,1,2
9719,Noise,Street/Sidewalk,6,7
9720,Noise,Residential Building/House,5,6
9721,Traffic,Street/Sidewalk,1,2
9722,Personal Issue,Street/Sidewalk,1,2
9723,Animals,Residential Building/House,4,5
9724,House,Residential Building/House,0,1
9725,Trash/Pollution,Residential Building/House,0,1
9726,Animals,Residential Building/House,4,5
9727,House,Residential Building/House,0,1
9728,Energy,Residential Building/House,0,1
9729,House,Residential Building/House,0,1
9730,Energy,Residential Building/House,0,1
9731,Noise,Residential Building/House,5,6
9732,Noise,Street/Sidewalk,6,7
9733,Traffic,Street/Sidewalk,1,2
9734,Personal Issue,Street/Sidewalk,1,2
9736,Animals,Residential Building/House,4,5
9737,House,Residential Building/House,0,1
9738,House,Residential Building/House,0,1
9739,Traffic,Residential Building/House,0,1
9740,Noise,Street/Sidewalk,6,7
9741,House,Residential Building/House,0,1
9742,House,Residential Building/House,0,1
9743,House,Residential Building/House,0,1
9744,Trash/Pollution,Residential Building/House,0,1
9745,House,Residential Building/House,0,1
9746,House,Residential Building/House,0,1
9749,House,Street/Sidewalk,0,1
9750,House,Residential Building/House,0,1
9751,House,Residential Building/House,0,1
9752,House,Residential Building/House,0,1
9753,House,Residential Building/House,0,1
9754,Safety,Street/Sidewalk,7,8
9755,Trash/Pollution,Residential Building/House,0,1
9756,House,Residential Building/House,0,1
9757,Animals,Residential Building/House,4,5
9758,Traffic,Street/Sidewalk,1,2
9759,Other,Store/Commercial,3,4
9760,Traffic,Street/Sidewalk,1,2
9761,Traffic,Street/Sidewalk,1,2
9762,Traffic,Street/Sidewalk,1,2
9763,Noise,Street/Sidewalk,6,7
9764,Traffic,Street/Sidewalk,1,2
9765,Traffic,Residential Building/House,0,1
9766,Safety,Street/Sidewalk,7,8
9767,Traffic,Residential Building/House,0,1
9768,Personal Issue,Street/Sidewalk,1,2
9769,Traffic,Street/Sidewalk,1,2
9770,Noise,Street/Sidewalk,6,7
9771,Noise,Street/Sidewalk,6,7
9772,Noise,Street/Sidewalk,6,7
9773,Noise,Street/Sidewalk,6,7
9774,Traffic,Street/Sidewalk,1,2
9775,Traffic,Street/Sidewalk,1,2
9776,Animals,Park,4,5
9777,Animals,Park,4,5
9778,Noise,Residential Building/House,5,6
9784,Traffic,Residential Building/House,0,1
9791,Traffic,Street/Sidewalk,1,2
9793,Personal Issue,Store/Commercial,3,4
9794,Traffic,Street/Sidewalk,1,2
9795,Noise,House of Worship,3,4
9796,Traffic,Street/Sidewalk,1,2
9797,Commercial,Street/Sidewalk,1,2
9798,Traffic,Street/Sidewalk,1,2
9799,Traffic,Street/Sidewalk,1,2
9800,Traffic,Street/Sidewalk,1,2
9802,Noise,Store/Commercial,3,4
9803,Noise,Street/Sidewalk,6,7
9804,Safety,Residential Building/House,0,1
9805,Traffic,Residential Building/House,0,1
9806,Traffic,Residential Building/House,0,1
9807,Traffic,Residential Building/House,0,1
9808,Traffic,Street/Sidewalk,1,2
9809,Traffic,Street/Sidewalk,1,2
9811,Traffic,Street/Sidewalk,1,2
9812,Traffic,Street/Sidewalk,1,2
9813,Traffic,Street/Sidewalk,1,2
9814,Noise,Residential Building/House,5,6
9815,Traffic,Street/Sidewalk,1,2
9816,Traffic,Street/Sidewalk,1,2
9817,Traffic,Street/Sidewalk,1,2
9818,Safety,Street/Sidewalk,7,8
9819,Noise,Street/Sidewalk,6,7
9820,Traffic,Street/Sidewalk,1,2
9821,Other,Street/Sidewalk,1,2
9822,Safety,Street/Sidewalk,7,8
9823,Traffic,Street/Sidewalk,1,2
9824,Safety,Street/Sidewalk,7,8
9825,Traffic,Street/Sidewalk,1,2
9826,Personal Issue,Street/Sidewalk,1,2
9827,Noise,Street/Sidewalk,6,7
9829,House,Residential Building/House,0,1
9830,Traffic,Residential Building/House,0,1
9831,Personal Issue,Street/Sidewalk,1,2
9832,Noise,Street/Sidewalk,6,7
9833,Noise,Residential Building/House,5,6
9834,Personal Issue,Street/Sidewalk,1,2
9835,Noise,Residential Building/House,5,6
9836,Noise,Street/Sidewalk,6,7
9837,Noise,Residential Building/House,5,6
9839,Traffic,Street/Sidewalk,1,2
9840,Traffic,Residential Building/House,0,1
9842,Traffic,Street/Sidewalk,1,2
9843,Safety,Park,7,8
9844,Safety,Park,7,8
9845,Noise,House of Worship,3,4
9846,Noise,Residential Building/House,5,6
9847,Traffic,Residential Building/House,0,1
9848,Noise,Residential Building/House,5,6
9849,Noise,Store/Commercial,3,4
9850,Noise,House of Worship,3,4
9851,Commercial,Street/Sidewalk,1,2
9852,Noise,House of Worship,3,4
9853,Personal Issue,Street/Sidewalk,1,2
9854,Noise,House of Worship,3,4
9855,Noise,House of Worship,3,4
9856,Noise,Residential Building/House,5,6
9857,Noise,Residential Building/House,5,6
9858,Noise,Street/Sidewalk,6,7
9859,Commercial,Street/Sidewalk,1,2
9860,Traffic,Street/Sidewalk,1,2
9861,Other,Street/Sidewalk,1,2
9862,Traffic,Street/Sidewalk,1,2
9863,Traffic,Street/Sidewalk,1,2
9864,Safety,Street/Sidewalk,7,8
9865,Traffic,Residential Building/House,0,1
9866,Traffic,Street/Sidewalk,1,2
9867,Other,Store/Commercial,3,4
9868,Safety,Street/Sidewalk,7,8
9869,Safety,Street/Sidewalk,7,8
9872,Other,Park,0,1
9873,House,Residential Building/House,0,1
9874,House,Residential Building/House,0,1
9875,Traffic,Street/Sidewalk,1,2
9876,Traffic,Street/Sidewalk,1,2
9877,Traffic,Street/Sidewalk,1,2
9878,Traffic,Street/Sidewalk,1,2
9879,Traffic,Street/Sidewalk,1,2
9880,Traffic,Street/Sidewalk,1,2
9881,Traffic,Street/Sidewalk,1,2
9882,Safety,Street/Sidewalk,7,8
9884,Traffic,Residential Building/House,0,1
9885,Noise,Residential Building/House,5,6
9886,Traffic,Residential Building/House,0,1
9887,Traffic,Street/Sidewalk,1,2
9888,Traffic,House of Worship,1,2
9889,Noise,Store/Commercial,3,4
9890,Traffic,Residential Building/House,0,1
9891,Traffic,Street/Sidewalk,1,2
9892,House,Residential Building/House,0,1
9893,Noise,Street/Sidewalk,6,7
9895,Traffic,Residential Building/House,0,1
9896,Traffic,Residential Building/House,0,1
9897,Noise,Store/Commercial,3,4
9898,Traffic,Street/Sidewalk,1,2
9899,Traffic,Street/Sidewalk,1,2
9900,Noise,Park,3,4
9901,Traffic,Residential Building/House,0,1
9902,Noise,Street/Sidewalk,6,7
9903,Noise,Residential Building/House,5,6
9905,Noise,Store/Commercial,3,4
9906,Traffic,Residential Building/House,0,1
9907,Noise,Residential Building/House,5,6
9908,Noise,Residential Building/House,5,6
9909,Noise,Street/Sidewalk,6,7
9910,Noise,Store/Commercial,3,4
9911,Traffic,Street/Sidewalk,1,2
9912,Noise,Street/Sidewalk,6,7
9913,Noise,Street/Sidewalk,6,7
9914,Personal Issue,Street/Sidewalk,1,2
9915,Other,Street/Sidewalk,1,2
9916,Noise,Store/Commercial,3,4
9917,Noise,Street/Sidewalk,6,7
9918,Noise,Store/Commercial,3,4
9919,Other,Residential Building/House,0,1
9920,Animals,Residential Building/House,4,5
9921,House,Residential Building/House,0,1
9922,House,Residential Building/House,0,1
9923,Noise,House of Worship,3,4
9924,Noise,House of Worship,3,4
9925,Traffic,Street/Sidewalk,1,2
9926,Traffic,Street/Sidewalk,1,2
9927,Noise,House of Worship,3,4
9928,Noise,Residential Building/House,5,6
9929,Noise,Residential Building/House,5,6
9930,Noise,Residential Building/House,5,6
9931,Noise,Residential Building/House,5,6
9932,Noise,Residential Building/House,5,6
9933,Noise,Store/Commercial,3,4
9934,Traffic,Street/Sidewalk,1,2
9935,Traffic,Street/Sidewalk,1,2
9937,Traffic,Street/Sidewalk,1,2
9938,Noise,Street/Sidewalk,6,7
9939,Noise,Store/Commercial,3,4
9940,Traffic,Street/Sidewalk,1,2
9941,Traffic,Street/Sidewalk,1,2
9942,House,Residential Building/House,0,1
9943,House,Residential Building/House,0,1
9944,House,Residential Building/House,0,1
9945,Other,Residential Building/House,0,1
9946,Noise,Residential Building/House,5,6
9947,Noise,Residential Building/House,5,6
9948,Noise,Street/Sidewalk,6,7
9949,Traffic,Street/Sidewalk,1,2
9951,Noise,Street/Sidewalk,6,7
9952,Noise,Residential Building/House,5,6
9953,Safety,Street/Sidewalk,7,8
9954,Noise,Street/Sidewalk,6,7
9955,Trash/Pollution,Residential Building/House,0,1
9956,Safety,Residential Building/House,0,1
9957,House,Residential Building/House,0,1
9958,House,Residential Building/House,0,1
9959,Trash/Pollution,Residential Building/House,0,1
9960,House,Residential Building/House,0,1
9961,Other,Residential Building/House,0,1
9962,House,Residential Building/House,0,1
9963,House,Residential Building/House,0,1
9964,Trash/Pollution,Residential Building/House,0,1
9965,House,Residential Building/House,0,1
9966,House,Residential Building/House,0,1
9967,Safety,Residential Building/House,0,1
9968,Animals,Residential Building/House,4,5
9969,Trash/Pollution,Residential Building/House,0,1
9970,House,Residential Building/House,0,1
9971,Other,Store/Commercial,3,4
9972,Safety,Street/Sidewalk,7,8
9973,Noise,Street/Sidewalk,6,7
9974,Traffic,Street/Sidewalk,1,2
9975,Traffic,Street/Sidewalk,1,2
9976,Safety,Street/Sidewalk,7,8
9977,Traffic,Street/Sidewalk,1,2
9978,Traffic,Residential Building/House,0,1
9979,Other,Street/Sidewalk,1,2
9981,Noise,Store/Commercial,3,4
9982,Noise,Store/Commercial,3,4
9983,Traffic,Street/Sidewalk,1,2
9984,Noise,Store/Commercial,3,4
9985,Noise,Store/Commercial,3,4
9986,Noise,Store/Commercial,3,4
9987,Noise,Store/Commercial,3,4
9988,Other,Store/Commercial,3,4
9989,Noise,Store/Commercial,3,4
9990,Noise,Store/Commercial,3,4
9991,Traffic,Residential Building/House,0,1
9992,Other,Residential Building/House,0,1
9993,Noise,Park,3,4
9994,Noise,Residential Building/House,5,6
9995,Traffic,Street/Sidewalk,1,2
9996,Traffic,Street/Sidewalk,1,2
9997,Traffic,Street/Sidewalk,1,2
9998,Safety,Street/Sidewalk,7,8
9999,Traffic,Street/Sidewalk,1,2
10000,Noise,Store/Commercial,3,4
10001,Traffic,Street/Sidewalk,1,2
10002,Safety,Street/Sidewalk,7,8
10003,Noise,Street/Sidewalk,6,7
10004,Traffic,Residential Building/House,0,1
10005,Traffic,Street/Sidewalk,1,2
10006,House,Residential Building/House,0,1
10007,House,Residential Building/House,0,1
10008,House,Residential Building/House,0,1
10009,Traffic,Street/Sidewalk,1,2
10010,Noise,Store/Commercial,3,4
10011,Noise,Store/Commercial,3,4
10012,House,Residential Building/House,0,1
10013,House,Residential Building/House,0,1
10014,Trash/Pollution,Residential Building/House,0,1
10015,Animals,Residential Building/House,4,5
10016,House,Residential Building/House,0,1
10017,House,Residential Building/House,0,1
10018,House,Residential Building/House,0,1
10019,House,Residential Building/House,0,1
10020,Animals,Residential Building/House,4,5
10021,Trash/Pollution,Residential Building/House,0,1
10022,Trash/Pollution,Residential Building/House,0,1
10023,Safety,Residential Building/House,0,1
10024,House,Residential Building/House,0,1
10025,House,Residential Building/House,0,1
10026,House,Residential Building/House,0,1
10027,House,Residential Building/House,0,1
10028,Other,Residential Building/House,0,1
10029,House,Residential Building/House,0,1
10030,House,Residential Building/House,0,1
10031,Safety,Residential Building/House,0,1
10032,House,Residential Building/House,0,1
10033,Trash/Pollution,Residential Building/House,0,1
10034,House,Residential Building/House,0,1
10035,Noise,Store/Commercial,3,4
10036,Safety,Residential Building/House,0,1
10037,Animals,Residential Building/House,4,5
10038,Animals,Residential Building/House,4,5
10039,Trash/Pollution,Residential Building/House,0,1
10040,Animals,Residential Building/House,4,5
10041,House,Residential Building/House,0,1
10042,House,Residential Building/House,0,1
10043,Safety,Residential Building/House,0,1
10044,Safety,Residential Building/House,0,1
10045,House,Residential Building/House,0,1
10046,Noise,Residential Building/House,5,6
10047,Noise,Residential Building/House,5,6
10048,Noise,Street/Sidewalk,6,7
10049,Noise,Street/Sidewalk,6,7
10050,Noise,Store/Commercial,3,4
10051,Traffic,Street/Sidewalk,1,2
10052,Traffic,Street/Sidewalk,1,2
10053,Noise,Street/Sidewalk,6,7
10054,Noise,Street/Sidewalk,6,7
10055,Noise,Street/Sidewalk,6,7
10056,Traffic,Street/Sidewalk,1,2
10057,Traffic,Street/Sidewalk,1,2
10058,Noise,Residential Building/House,5,6
10059,Traffic,Residential Building/House,0,1
10060,Traffic,Street/Sidewalk,1,2
10061,Safety,Street/Sidewalk,7,8
10062,Other,Park,0,1
10063,Noise,Street/Sidewalk,6,7
10064,Noise,Store/Commercial,3,4
10065,Noise,Street/Sidewalk,6,7
10066,Safety,Street/Sidewalk,7,8
10067,Safety,Street/Sidewalk,7,8
10068,Noise,Store/Commercial,3,4
10069,Noise,Residential Building/House,5,6
10070,Noise,Store/Commercial,3,4
10071,Noise,Street/Sidewalk,6,7
10072,Traffic,Street/Sidewalk,1,2
10074,Traffic,Street/Sidewalk,1,2
10075,Safety,Street/Sidewalk,7,8
10076,Safety,Street/Sidewalk,7,8
10077,Other,Street/Sidewalk,1,2
10078,Traffic,Street/Sidewalk,1,2
10079,Noise,Street/Sidewalk,6,7
10080,Noise,Street/Sidewalk,6,7
10081,Noise,Street/Sidewalk,6,7
10082,Noise,Street/Sidewalk,6,7
10083,Noise,Residential Building/House,5,6
10084,Noise,Store/Commercial,3,4
10085,Noise,Street/Sidewalk,6,7
10086,Noise,Street/Sidewalk,6,7
10087,Noise,Street/Sidewalk,6,7
10088,Noise,Residential Building/House,5,6
10089,Traffic,Street/Sidewalk,1,2
10090,Noise,Store/Commercial,3,4
10091,Traffic,Street/Sidewalk,1,2
10092,Noise,Residential Building/House,5,6
10093,Noise,Residential Building/House,5,6
10094,Noise,Store/Commercial,3,4
10095,Noise,Street/Sidewalk,6,7
10096,Noise,Street/Sidewalk,6,7
10097,Traffic,Residential Building/House,0,1
10098,Traffic,Street/Sidewalk,1,2
10099,Noise,Street/Sidewalk,6,7
10100,Personal Issue,Street/Sidewalk,1,2
10101,Noise,Street/Sidewalk,6,7
10102,Noise,Street/Sidewalk,6,7
10103,Noise,Street/Sidewalk,6,7
10104,Traffic,Residential Building/House,0,1
10105,Traffic,Street/Sidewalk,1,2
10106,Noise,Street/Sidewalk,6,7
10107,Noise,Residential Building/House,5,6
10108,Noise,Residential Building/House,5,6
10109,Noise,Residential Building/House,5,6
10110,Noise,Residential Building/House,5,6
10111,Noise,Street/Sidewalk,6,7
